,institution_main,professors,associateprof,assistantprof,instructors,lecturers,state,instlevel,instcontrol,hbcuflag,tribalflag,degofurbanization,instsize,gradrate4yrs,gradrate5yrs,gradrate6yrs,transferrate,gradrate,instructionalstaff,researchstaff,publicservicestaff,academicaffairstaff,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd,sat25thperreading,sat75thperreading,sat25thpermath,sat75thpermath,act25thpercomp,act75thpercomp,act25thpereng,act75thpereng,act25thpermath,act75thpermath
2453,University of Wisconsin-Platteville,88,69,72,0,67,WI,1,1,2,2,32,3,26,50,56,20,56,319,1,0,14,1,1,1,A,1,1,1,14,90,104,20,125,145,14,72,86,82,45,22,1.0,1,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2454,University of Wisconsin-River Falls,97,34,63,0,23,WI,1,1,2,2,32,3,37,55,58,20,58,255,0,0,12,1,1,-2,A,1,1,1,814,1841,2655,920,1918,2838,116,303,419,79,0,14,1.0,1,1,1,1,White,White,Asian,450,520,440,530,17,20,20,21,17,20
2455,University of Wisconsin-Stevens Point,124,90,71,2,39,WI,1,1,2,2,32,3,34,55,59,20,59,355,3,0,19,1,1,-2,A,1,1,1,2684,4392,7076,3354,5227,8581,715,825,1540,79,44,15,1.0,1,1,1,1,White,White,White,470,580,470,580,18,26,17,25,17,25
2456,University of Wisconsin-Stout,108,54,90,0,64,WI,1,1,2,2,32,3,30,55,60,20,60,357,0,0,20,1,1,2,A,1,1,1,119,505,624,317,1298,1615,62,279,341,82,100,21,1.0,1,1,0,0,White,White,White,455,625,502,661,22,22,23,27,22,24
2457,University of Wisconsin-Superior,29,28,25,1,29,WI,1,1,2,2,22,2,29,40,43,20,43,123,2,0,7,1,1,2,A,1,1,1,7,31,38,17,101,118,3,18,21,100,45,11,1.0,1,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2458,University of Wisconsin-Whitewater,104,151,107,0,109,WI,1,1,2,2,32,4,38,59,62,20,62,508,1,0,6,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0.0,0,1,1,0,White,White,White,455,625,502,661,22,22,23,27,22,24
2459,University of Wyoming,197,185,149,19,169,WY,1,1,2,2,33,4,33,54,59,24,59,721,186,101,148,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,82,7,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2460,Upper Iowa University,11,23,18,0,9,IA,1,2,2,2,43,2,24,25,25,0,27,178,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,55,47,23,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2461,Upstate Medical University,121,142,326,20,0,NY,1,1,2,2,12,2,22,34,71,20,50,685,0,1,4,1,2,-2,A,1,1,5,1,1,2,1,1,2,0,0,0,82,45,5,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2462,Urshan College,166,182,201,56,19,MO,1,2,2,2,21,1,15,15,15,20,12,14,0,0,0,1,1,4,A,1,1,1,748,297,1045,908,351,1259,81,30,111,46,45,10,1.0,1,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
