instnm,Professors (S2020_SIS  All full-time instructional staff),Associate professors (S2020_SIS  All full-time instructional staff),Assistant professors (S2020_SIS  All full-time instructional staff),Intructors (S2020_SIS  All full-time instructional staff),Lecturers (S2020_SIS  All full-time instructional staff),State abbreviation (HD2020),Level of institution (HD2020),Control of institution (HD2020),Historically Black College or University (HD2020),Tribal college (HD2020),Degree of urbanization (Urban-centric locale) (HD2020),Institution size category (HD2020),Percent admitted - total (DRVADM2020),Percent admitted - men (DRVADM2020),Percent admitted - women (DRVADM2020),Admissions yield - total (DRVADM2020),Admissions yield - men (DRVADM2020),Admissions yield - women (DRVADM2020),Percent of undergraduate enrollment 18-24 (DRVEF2020),Percent of undergraduate enrollment  25-64 (DRVEF2020),Percent of total enrollment that are American Indian or Alaska Native (DRVEF2020),Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander (DRVEF2020),Percent of total enrollment that are Asian (DRVEF2020),Percent of total enrollment that are Native Hawaiian or Other Pacific Islander (DRVEF2020),Percent of total enrollment that are Black or African American (DRVEF2020),Percent of total enrollment that are Hispanic/Latino (DRVEF2020),Percent of total enrollment that are White (DRVEF2020),Percent of total enrollment that are Race/ethnicity unknown (DRVEF2020),Percent of total enrollment that are Nonresident Alien (DRVEF2020),Percent of total enrollment that are two or more races (DRVEF2020),Percent of students enrolled exclusively in distance education courses (DRVEF2020),Percent of students enrolled in some but not all distance education courses (DRVEF2020),Percent of students not enrolled in any distance education courses (DRVEF2020),Percent of first-time undergraduates - in-state (DRVEF2020),Percent of first-time undergraduates - out-of-state (DRVEF2020),Percent of first-time undergraduates - foreign countries (DRVEF2020),Full-time retention rate  2020 (EF2020D),Part-time retention rate  2020 (EF2020D),Number of students receiving a Doctor's degree (DRVC2020),Number of students receiving a Master's degree (DRVC2020),Number of students receiving a Bachelor's degree (DRVC2020),Number of students receiving an Associate's degree (DRVC2020),Graduation rate  men (DRVGR2020),Graduation rate  women (DRVGR2020),Graduation rate - Bachelor degree within 4 years  total (DRVGR2020),Graduation rate - Bachelor degree within 5 years  total (DRVGR2020),Graduation rate - Bachelor degree within 6 years  total (DRVGR2020),Transfer-out rate  total cohort (DRVGR2020),Graduation rate  total cohort (DRVGR2020),Instructional FTE (DRVHR2020),Research FTE (DRVHR2020),Public Service FTE (DRVHR2020),Instructional  research and public service FTE (DRVHR2020),Librarians  Curators  and Archivists FTE (DRVHR2020),Student and Academic Affairs and Other Education Services FTE (DRVHR2020),Management FTE (DRVHR2020),Business and Financial Operations FTE (DRVHR2020),Computer  Engineering  and Science FTE (DRVHR2020),Community Service  Legal  Arts  and Media FTE (DRVHR2020),Healthcare FTE (DRVHR2020),Service  sales  office/admin support  natural resources  construction  maintenance  production  transportation & materials moving FTE (DRVHR2020),Service FTE (DRVHR2020),Sales and Related FTE (DRVHR2020),Office and Administrative Support FTE (DRVHR2020),Natural Resources  Construction  and Maintenance FTE (DRVHR2020),Production  Transportation  and Material Moving FTE (DRVHR2020),Physical books as a percent of the total library collection (DRVAL2020),Physical media as a percent of the total library collection (DRVAL2020),Digital/Electronic books as a percent of the total library collection (DRVAL2020),Digital/Electronic media as a percent of the total library collection (DRVAL2020),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2020),Percent of first-time degree/certificate-seeking students submitting ACT scores (ADM2020),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2020),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2020),SAT Math 25th percentile score (ADM2020),SAT Math 75th percentile score (ADM2020),ACT Composite 25th percentile score (ADM2020),ACT Composite 75th percentile score (ADM2020),ACT English 25th percentile score (ADM2020),ACT English 75th percentile score (ADM2020),ACT Math 25th percentile score (ADM2020),ACT Math 75th percentile score (ADM2020)
Albany Law School,24,5,9,0,0,NY,1,2,2,2,13,1,,,,,,,,,0,5,5,0,5,8,71,5,2,3,8,4,88,,,,,,141,20,0,0,,,,,,,,48,0,0,48,8,7,17,8,3,12,0,19,0,0,19,0,0,33,49,0,0,,,,,,,,,,,,
Albany Medical College,102,121,207,40,0,NY,1,2,2,2,13,1,,,,,,,,,0,25,25,0,6,7,56,3,2,1,8,0,92,,,,,,159,71,0,0,,,,,,,,645,0,0,645,5,0,146,17,13,33,557,668,127,0,541,0,0,46,0,6,0,,,,,,,,,,,,
Albany State University,47,50,60,35,11,GA,1,1,1,2,13,3,73,72,74,26,30,24,77,19,0,0,0,0,77,6,11,2,1,2,28,36,36,89,11,0,74,22,0,104,503,546,21,28,12,34,41,45,26,240,0,0,240,4,58,86,18,36,49,2,166,62,0,92,12,0,29,0,71,0,46,26,380,460,360,440,15,18,13,17,15,17
Albert Einstein College of Medicine,11,19,11,2,0,NY,1,2,2,2,11,2,,,,,,,,,0,24,24,0,6,11,47,5,4,4,4,4,92,,,,,,195,45,0,0,,,,,,,,54,737,0,791,6,3,148,70,393,22,25,373,112,1,185,67,8,21,2,23,46,,,,,,,,,,,,
Albertus Magnus College,20,12,16,1,0,CT,1,2,2,2,12,2,81,78,84,13,12,14,55,45,1,1,1,0,29,20,32,12,3,2,21,55,24,83,11,6,72,,0,147,247,23,44,53,36,46,46,34,49,81,0,0,81,6,26,24,26,8,36,5,26,6,1,12,7,0,11,0,71,1,,,,,,,,,,,,
Albion College,50,24,44,2,3,MI,1,2,2,2,31,2,74,70,78,14,16,12,96,1,0,2,2,0,18,13,55,7,1,4,1,57,42,73,26,1,73,,0,0,291,0,61,74,58,66,68,,68,137,0,0,137,6,27,54,30,19,68,4,90,28,0,43,15,4,15,1,60,18,75,13,460,590,470,570,19,27,18,27,17,26
Albizu University-Miami,4,8,12,0,0,FL,1,2,2,2,13,1,79,67,80,95,100,94,,,0,1,1,0,5,82,6,3,2,1,10,36,54,96,4,0,100,0,34,143,41,0,67,33,17,50,50,,50,50,0,0,50,2,3,14,3,6,0,0,35,10,0,21,4,0,7,1,40,16,,,,,,,,,,,,
Albright College,23,41,32,16,0,PA,1,2,2,2,13,2,82,76,86,8,10,7,,,0,2,2,0,25,17,48,2,1,4,14,71,15,57,39,0,73,,0,5,370,0,54,64,57,59,60,,60,129,0,0,129,4,16,39,26,15,44,3,93,49,0,32,11,1,20,1,23,1,,,,,,,,,,,,
Alcorn State University,25,27,53,43,0,MS,1,1,1,2,43,2,38,36,39,16,19,14,,,0,0,0,0,91,1,2,0,4,2,16,57,27,62,38,0,74,33,0,94,520,18,40,48,25,41,45,,45,174,4,0,178,1,38,36,9,41,59,2,277,88,0,141,45,3,44,38,6,0,16,84,410,500,390,460,16,25,14,25,16,25
Alder Graduate School of Education,0,0,0,0,0,CA,1,2,2,2,13,1,,,,,,,,,1,7,7,0,13,54,19,5,0,2,0,100,0,,,,,,0,0,0,0,,,,,,,,22,0,0,22,0,12,10,4,2,0,0,2,0,0,2,0,0,0,0,84,0,,,,,,,,,,,,
Alderson Broaddus University,3,18,31,1,0,WV,1,2,2,2,32,1,53,58,46,19,21,17,90,8,1,2,2,0,28,8,54,0,6,1,4,54,42,25,71,4,48,,0,35,122,1,26,40,25,30,32,,32,61,0,0,61,2,6,20,5,4,31,8,63,30,0,33,0,0,14,1,86,0,69,24,430,530,420,520,17,22,15,21,16,21
Alfred University,55,33,53,2,2,NY,1,2,2,2,33,2,64,63,65,13,15,12,88,8,0,2,2,0,13,10,50,17,7,2,4,65,30,77,21,3,67,,7,272,322,0,55,69,46,59,61,26,61,162,0,0,162,20,20,32,27,38,36,9,183,61,17,74,28,3,18,1,70,0,89,17,480,600,490,600,21,27,19,26,19,26
Alhambra Medical University,,,,,,CA,1,3,2,2,21,1,,,,,,,9,89,1,78,78,0,1,3,4,0,14,0,0,0,100,,,,,,0,18,0,0,,,,,,,,9,0,0,9,2,8,1,1,0,0,3,2,0,0,2,0,0,79,3,0,0,,,,,,,,,,,,
Alice Lloyd College,9,4,12,4,0,KY,1,2,2,2,43,1,21,21,21,23,26,21,,,0,0,0,0,4,1,93,1,1,0,0,0,100,75,25,0,65,,0,0,91,0,37,34,23,34,35,11,35,31,0,0,31,3,0,21,0,3,0,0,49,10,0,33,6,0,24,0,66,0,8,88,440,500,420,500,16,21,16,23,16,19
Allegheny College,38,42,61,3,0,PA,1,2,2,2,32,2,73,67,78,12,14,11,95,1,0,4,4,0,9,9,68,4,3,4,1,0,99,43,54,4,84,50,0,0,397,0,69,75,68,72,73,,73,170,0,0,170,16,15,82,15,2,55,1,79,15,0,52,12,0,23,0,47,20,47,27,580,680,560,670,24,30,22,31,22,27
Allegheny Wesleyan College,3,0,0,0,0,OH,1,2,2,2,41,1,,,,,,,,,4,0,0,0,0,0,96,0,0,0,3,0,97,29,59,0,43,,0,0,8,5,29,47,4,21,29,13,42,7,0,2,9,1,5,2,2,1,0,0,5,0,1,2,2,0,98,1,0,1,,,,,,,,,,,,
Allen College,9,20,13,1,0,IA,1,2,2,2,13,1,,,,,,,81,19,1,2,2,0,2,2,85,7,0,2,6,70,24,,,,,,1,65,146,10,,,,,,,,58,0,0,58,2,8,4,3,1,0,0,12,5,0,7,0,0,20,0,29,25,,,,,,,,,,,,
Allen University,0,8,23,10,0,SC,1,2,1,2,12,1,65,56,69,8,15,4,,,1,0,0,0,93,1,1,4,1,0,2,98,0,64,36,0,50,17,0,5,40,0,23,17,8,14,19,23,19,49,0,0,49,4,3,16,6,3,11,0,35,11,4,9,10,1,21,0,75,3,,,,,,,,,,,,
Alliant International University-San Diego,42,32,32,0,0,CA,1,3,2,2,11,2,38,40,36,0,0,0,,,0,9,9,0,9,26,38,10,1,5,94,0,6,,,,,0,297,519,46,0,25,18,7,13,20,53,20,193,0,3,196,5,77,43,20,12,1,7,34,6,0,26,2,0,49,1,16,3,,,,,,,,,,,,
Alma College,29,16,31,14,1,MI,1,2,2,2,32,2,67,64,70,22,24,20,95,2,0,1,1,0,4,5,81,2,3,4,1,55,45,88,8,3,83,0,0,0,302,0,66,75,59,69,71,,71,108,0,0,108,4,43,22,5,8,50,0,41,0,12,18,11,0,30,1,34,0,,,,,,,,,,,,
Alpena Community College,0,0,0,0,0,MI,1,1,2,2,41,2,,,,,,,50,17,2,1,1,0,2,2,92,1,0,0,19,30,51,98,2,0,63,45,0,0,1,241,43,32,,,,17,38,62,0,1,63,2,2,26,3,5,3,0,25,5,0,16,4,0,75,0,24,0,,,,,,,,,,,,
Alvernia University,9,30,48,21,0,PA,1,2,2,2,13,2,70,69,71,18,16,19,79,21,0,2,2,0,12,12,66,4,2,3,14,21,65,69,25,5,71,,49,139,424,87,55,64,45,60,61,26,61,155,0,0,155,6,17,31,24,6,36,0,53,23,0,18,8,4,16,0,52,8,,,,,,,,,,,,
Alverno College,26,24,42,0,0,WI,1,2,2,2,11,2,78,,78,22,,22,71,28,0,5,5,0,15,25,50,0,1,3,2,19,79,86,14,0,71,100,3,188,281,14,,43,22,40,43,,43,144,0,0,144,3,30,74,5,16,26,1,33,8,0,22,2,1,15,1,69,0,,,,,,,,,,,,
Amberton University,14,3,1,0,0,TX,1,2,2,2,21,2,,,,,,,,,1,6,6,0,27,10,44,2,10,0,100,0,0,,,,,,0,314,50,0,,,,,,,,27,0,0,27,3,2,14,0,0,0,0,10,1,0,9,0,0,81,1,18,0,,,,,,,,,,,,
Ambria College of Nursing,2,1,1,3,0,IL,1,3,2,2,13,1,,,,,,,,,0,24,24,0,21,19,33,2,0,0,16,84,0,,,,,,0,0,4,45,,75,,,,25,75,13,0,0,13,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
America Evangelical University,,,,,,CA,1,2,2,2,11,1,,,,,,,,,0,17,16,1,2,4,1,0,76,0,100,0,0,57,29,14,0,,4,8,3,0,,,,,,,,8,0,0,8,0,0,1,1,0,1,0,2,0,0,2,0,0,100,0,0,0,,,,,,,,,,,,
American Academy of Acupuncture and Oriental Medicine,,,,,,MN,1,3,2,2,21,1,,,,,,,,,0,30,30,0,2,2,65,0,0,0,0,0,100,,,,,,13,12,0,0,,,,,,,,10,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,99,0,0,0,,,,,,,,,,,,
American Academy of Art,0,0,0,20,0,IL,1,2,2,2,11,1,,,,,,,93,7,1,3,3,0,9,37,46,0,0,4,0,0,100,82,18,0,74,33,0,0,43,0,52,61,46,57,58,17,58,21,0,0,21,1,0,8,0,0,0,0,23,0,7,16,0,0,1,0,98,0,,,,,,,,,,,,
American Baptist College,3,0,0,0,0,TN,1,2,1,2,11,1,,,,,,,,,0,0,0,0,96,0,0,0,4,0,0,0,100,75,0,25,40,,0,0,16,1,100,20,45,64,64,,64,7,1,0,8,1,6,9,3,1,0,0,5,0,0,2,3,0,100,0,0,0,,,,,,,,,,,,
American Business and Technology University,,,,,,MO,1,3,2,2,13,1,,,,,,,,,1,5,5,1,28,14,39,10,0,4,100,0,0,1,92,0,,,0,8,14,17,75,54,,,,,64,12,1,0,13,0,3,3,2,0,0,0,5,0,3,2,0,0,0,0,37,33,,,,,,,,,,,,
American College of Acupuncture and Oriental Med,2,0,2,2,2,TX,1,3,2,2,11,1,,,,,,,,,0,36,35,1,15,9,21,5,12,2,73,27,0,,,,,,12,8,0,0,,,,,,,,11,0,1,12,1,0,2,1,0,0,1,6,0,0,6,0,0,90,4,3,3,,,,,,,,,,,,
American College of Education,0,0,0,90,0,IN,1,3,2,2,11,3,,,,,,,6,94,0,2,2,0,8,9,70,2,6,3,100,0,0,,,,,,157,2998,61,0,,,,,,,,143,0,0,143,1,87,58,6,0,0,0,3,0,0,3,0,0,0,0,86,13,,,,,,,,,,,,
American College of Financial Services,2,2,11,3,0,PA,1,2,2,2,21,3,,,,,,,,,0,3,3,0,5,1,51,39,0,1,99,1,0,,,,,,5,52,0,0,,,,,,,,32,1,0,33,4,69,20,9,35,11,0,36,11,13,8,2,2,0,0,24,63,,,,,,,,,,,,
American College of Healthcare Sciences,15,1,1,0,0,OR,1,3,2,2,11,1,47,25,48,100,100,100,,,2,2,1,1,16,11,65,1,0,3,100,0,0,3,97,0,0,0,0,101,5,29,100,60,,,,,67,21,0,0,21,1,4,6,6,2,1,0,14,0,6,3,0,5,0,0,11,0,,,,,,,,,,,,
American College of the Building Arts,9,0,0,0,0,SC,1,2,2,2,12,1,65,69,0,100,100,,,,0,2,1,1,3,0,95,0,0,0,0,0,100,36,64,0,60,,0,0,9,5,78,33,58,58,58,8,67,12,0,0,12,1,3,3,1,0,0,0,2,0,0,2,0,0,75,1,0,0,45,27,528,593,468,633,19,29,19,29,18,28
American Conservatory Theater,0,0,0,0,0,CA,1,2,2,2,11,1,,,,,,,,,0,7,7,0,20,3,43,7,7,13,0,0,100,,,,,,0,12,0,0,,,,,,,,11,2,0,13,0,1,9,5,2,8,0,33,7,8,18,0,0,58,3,36,2,,,,,,,,,,,,
American Film Institute Conservatory,6,0,0,0,6,CA,1,2,2,2,11,1,,,,,,,,,1,7,7,0,7,10,35,2,37,2,0,100,0,,,,,,0,102,0,0,,,,,,,,46,0,0,46,7,20,44,16,6,82,0,58,24,0,28,2,4,22,64,0,14,,,,,,,,,,,,
American Institute of Alternative Medicine,0,0,0,14,0,OH,1,3,2,2,11,1,67,100,64,70,0,78,,,1,2,1,1,74,2,18,0,0,3,0,0,100,100,0,0,,,0,4,0,119,100,40,,,,,47,30,0,0,30,1,4,4,5,0,0,0,10,0,4,6,0,0,83,5,0,0,,,,,,,,,,,,
American InterContinental University,0,0,0,0,0,AZ,1,3,2,2,41,4,,,,,,,16,84,1,3,2,1,31,5,27,30,0,4,100,0,0,2,97,0,28,4,19,823,1541,708,18,17,11,11,11,,17,349,0,0,349,1,119,58,91,10,2,0,502,29,449,24,0,0,0,0,18,3,,,,,,,,,,,,
American InterContinental University-Atlanta,0,0,0,0,0,GA,1,3,2,2,12,2,,,,,,,20,79,0,1,1,0,52,0,10,33,0,2,82,10,7,96,4,0,37,38,0,132,289,95,43,25,38,38,38,,33,14,0,0,14,1,12,7,10,1,0,0,43,3,40,0,0,0,2,1,17,3,,,,,,,,,,,,
American InterContinental University-Houston,0,0,0,0,0,TX,1,3,2,2,11,1,,,,,,,21,78,1,6,6,0,53,1,7,31,0,0,26,53,20,81,13,6,50,0,0,56,67,17,43,56,47,53,58,,52,14,0,0,14,1,7,2,0,1,0,0,11,2,9,0,0,0,3,0,17,3,,,,,,,,,,,,
American International College,13,27,14,3,0,MA,1,2,2,2,12,2,69,69,70,25,27,24,,,0,3,2,1,16,16,51,6,2,5,3,4,93,55,41,4,70,0,60,584,220,1,40,48,32,42,44,,44,238,0,0,238,6,41,27,23,8,54,4,21,0,0,21,0,0,74,0,24,0,33,3,440,550,450,550,22,29,,,,
American Islamic College,,,,,,IL,1,2,2,2,11,1,,,,,,,,,0,19,19,0,38,6,25,13,0,0,0,100,0,,,,,,0,0,0,0,0,0,0,0,0,,0,4,0,0,4,1,1,3,0,0,0,0,1,1,0,0,0,0,100,0,0,0,,,,,,,,,,,,
American Jewish University,6,0,0,0,0,CA,1,2,2,2,11,1,,,,,,,30,70,0,1,1,0,0,2,42,53,0,2,8,0,92,,,,,,0,40,12,0,20,43,33,33,33,,33,21,0,0,21,2,9,39,8,1,0,0,38,21,1,8,8,0,32,1,59,0,,,,,,,,,,,,
American Medical Academy,0,0,0,6,0,FL,1,3,2,2,21,1,,,,,,,,,0,0,0,0,6,81,9,2,0,2,4,3,93,100,0,0,,,0,0,0,52,71,70,,,,,71,6,0,0,6,0,0,6,6,0,0,0,10,0,0,10,0,0,50,0,44,6,,,,,,,,,,,,
American Medical Sciences Center,,,,,,CA,1,3,2,2,12,1,,,,,,,,,0,13,12,2,4,42,40,0,0,0,0,0,100,100,0,0,,,0,0,0,16,100,86,,,,,87,3,0,0,3,0,0,0,1,0,0,0,6,0,0,6,0,0,0,0,3,0,,,,,,,,,,,,
American Musical and Dramatic Academy,0,0,0,126,0,NY,1,2,2,2,11,2,44,45,45,18,21,17,97,3,0,2,2,0,19,23,37,2,7,9,0,0,100,9,84,7,65,,0,0,213,71,67,73,62,64,64,,71,259,0,0,259,3,9,51,13,8,38,6,84,18,2,49,15,0,75,22,3,0,,,,,,,,,,,,
American National University,0,0,0,0,0,VA,1,3,2,2,22,1,,,,,,,,,1,10,10,0,27,3,23,31,1,5,100,0,0,11,74,0,0,50,0,21,28,53,10,40,,,,,30,12,0,0,12,0,0,2,0,0,0,0,31,0,20,9,2,0,9,1,91,0,,,,,,,,,,,,
American National University-Pikeville,0,0,0,0,0,KY,1,3,2,2,41,1,,,,,,,,,0,0,0,0,6,2,45,38,0,8,46,54,0,100,0,0,,,0,0,2,30,11,32,,,,,25,7,0,0,7,0,0,1,0,0,0,0,22,0,15,7,0,0,2,0,98,0,,,,,,,,,,,,
American Public University System,48,151,59,87,0,WV,1,3,2,2,31,5,,,,,,,,,1,4,3,1,15,15,52,8,1,4,100,0,0,0,96,0,98,88,0,2676,6050,2688,50,47,27,35,38,,48,825,0,0,825,11,82,167,135,10,133,0,79,0,0,79,0,0,1,0,23,68,,,,,,,,,,,,
American Sentinel University,1,8,6,0,0,CO,1,3,2,2,11,2,,,,,,,,,0,6,6,0,16,6,63,6,0,3,100,0,0,,,,,,116,228,610,0,0,,0,0,0,100,0,54,0,0,54,0,30,7,21,11,4,0,14,0,12,2,0,0,0,0,97,0,,,,,,,,,,,,
American University,187,178,141,321,0,DC,1,2,2,2,11,4,39,37,40,21,21,21,,,0,6,6,0,10,11,48,7,13,5,11,22,67,2,93,5,85,0,443,1935,1758,0,77,81,74,78,79,,79,1062,34,0,1096,58,51,455,275,187,338,12,484,95,0,285,62,42,36,3,39,13,50,31,630,710,590,680,27,32,28,34,24,29
American University of Health Sciences,7,8,15,8,0,CA,1,3,2,2,21,1,,,,,,,,,1,52,48,4,10,24,8,1,0,4,0,0,100,100,0,0,,,0,0,55,0,33,40,38,38,38,,38,47,3,0,50,2,5,8,5,3,2,0,14,0,7,6,1,0,77,0,15,6,,,,,,,,,,,,
AmeriTech College-Draper,0,0,0,0,0,UT,1,3,2,2,21,2,100,100,100,46,65,44,41,58,0,3,2,1,2,12,78,3,0,1,16,84,0,97,3,0,88,0,0,0,59,337,84,79,,,,,80,81,0,0,81,0,20,16,17,0,0,0,17,0,7,10,0,0,0,0,77,2,,,,,,,,,,,,
Amherst College,100,38,85,2,37,MA,1,2,2,2,21,2,12,12,12,35,38,32,97,2,1,16,15,0,10,14,40,2,10,7,63,36,1,11,74,13,91,,0,0,453,0,94,95,85,93,95,2,95,268,0,0,268,25,30,96,68,70,79,12,340,164,0,136,34,6,41,2,46,5,59,42,710,770,720,790,32,35,33,36,29,34
Amridge University,13,8,6,3,0,AL,1,2,2,2,12,1,,,,,,,,,0,1,1,0,57,3,35,2,0,0,100,0,0,,,,50,,4,58,27,39,25,,25,25,25,,25,39,0,0,39,2,6,0,7,5,0,0,12,0,0,10,2,0,97,0,0,0,,,,,,,,,,,,
Anabaptist Mennonite Biblical Seminary,0,5,4,0,0,IN,1,2,2,2,13,1,,,,,,,,,0,1,1,0,1,5,51,1,40,1,38,20,42,,,,,,0,13,0,0,,,,,,,,9,0,0,9,2,0,8,3,1,1,0,9,0,1,7,1,0,18,0,71,0,,,,,,,,,,,,
Anderson University,21,39,69,25,9,SC,1,2,2,2,13,2,59,60,59,31,36,29,84,9,0,2,1,0,9,4,80,2,1,2,22,38,40,76,24,0,84,,22,215,583,0,52,60,51,52,57,,57,294,0,0,294,7,10,44,21,13,82,9,103,19,0,56,12,16,8,1,63,23,,,,,,,,,,,,
Anderson University,40,20,42,2,0,IN,1,2,2,2,13,2,67,69,67,13,16,11,,,0,1,1,0,8,7,74,2,3,4,8,45,47,76,23,1,71,,11,85,303,7,57,70,55,63,64,23,64,128,0,0,128,5,11,36,17,9,45,3,58,11,0,37,10,0,13,0,57,7,72,38,470,580,480,580,18,25,18,24,18,25
Andrew College,1,8,16,1,0,GA,1,2,2,2,32,1,59,62,56,28,34,23,74,24,0,1,0,0,49,8,36,4,1,1,19,60,21,75,23,2,75,,0,0,2,70,17,40,,,,52,29,29,0,0,29,2,1,6,4,1,14,2,10,0,0,10,0,0,5,1,52,37,42,25,480,540,440,540,16,20,15,18,15,20
Andrews University,70,61,65,3,0,MI,1,2,2,2,31,2,49,52,46,37,39,35,78,10,0,11,10,1,18,17,24,3,23,4,12,16,72,22,69,9,85,67,110,318,342,2,61,61,36,55,61,22,61,231,0,0,231,16,48,80,29,21,21,0,225,63,3,127,24,8,28,2,62,1,54,54,520,680,510,700,21,28,21,30,19,27
Angeles College,3,1,0,4,0,CA,1,3,2,2,11,1,,,,,,,,,1,36,35,0,11,30,2,1,18,1,0,0,100,100,0,0,,,0,0,31,0,92,100,86,86,86,,98,11,0,0,11,1,0,6,0,1,0,0,11,0,0,11,0,0,0,0,68,10,,,,,,,,,,,,
Angelo State University,78,58,67,73,1,TX,1,1,2,2,12,4,78,78,78,44,45,43,58,7,0,2,2,0,6,37,50,0,1,3,18,37,45,95,3,1,71,17,25,575,1162,0,37,48,31,39,43,32,43,339,0,0,339,20,44,48,55,55,85,0,213,35,14,116,41,7,35,28,14,17,65,58,460,570,460,550,17,23,15,23,16,23
Anna Maria College,3,8,28,3,0,MA,1,2,2,2,41,2,86,82,91,10,10,10,75,21,0,1,1,0,12,8,59,14,2,3,22,0,78,58,38,3,65,,0,177,230,0,43,54,43,49,50,37,50,90,0,0,90,2,10,25,6,4,23,5,25,4,0,20,0,1,21,1,63,1,,,,,,,,,,,,
Antelope Valley College,46,67,0,18,0,CA,1,1,2,2,21,4,,,,,,,59,33,0,4,4,0,12,61,16,2,0,5,5,19,76,99,0,1,,,0,0,6,1406,27,28,,,,4,27,375,0,0,375,8,35,48,22,12,14,0,185,55,1,125,0,4,84,1,15,0,,,,,,,,,,,,
Antioch College,0,7,9,0,0,OH,1,2,2,2,31,1,85,78,87,28,40,24,85,15,3,1,1,0,25,16,49,3,0,3,14,0,86,57,39,0,71,,0,0,16,0,60,68,59,63,66,17,66,16,0,0,16,3,9,10,11,3,2,1,28,23,0,5,0,0,26,0,64,1,5,11,575,605,620,680,22,23,21,28,17,27
Antioch College AG,,,,,,VA,1,2,2,2,12,1,,,,,,,,,0,9,9,0,43,3,43,0,0,3,71,29,0,80,20,0,100,50,0,0,5,3,,67,100,100,100,,67,4,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,62,0,29,0,,,,,,,,,,,,
Antioch University Online,0,0,0,0,0,OH,1,2,2,2,41,1,,,,,,,,,1,1,1,0,11,12,51,19,2,3,100,0,0,,,,,,0,2,44,0,,,,,,,,19,0,0,19,0,4,9,0,0,0,0,1,0,0,1,0,0,0,0,84,4,,,,,,,,,,,,
Antioch University-Los Angeles,0,0,0,0,0,CA,1,2,2,2,21,1,,,,,,,,,0,4,4,0,5,16,48,22,1,4,100,0,0,,,,,,0,275,44,0,,,,,,,,67,0,0,67,2,2,5,0,0,2,0,27,2,0,25,0,0,2,0,82,4,,,,,,,,,,,,
Antioch University-Midwest,,,,,,OH,1,2,2,2,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,4,0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,81,4,,,,,,,,,,,,
Antioch University-New England,0,0,0,0,0,NH,1,2,2,2,32,1,,,,,,,,,0,2,2,0,4,7,59,23,2,2,100,0,0,,,,,,37,172,0,0,,,,,,,,81,0,0,81,2,2,16,1,0,0,0,14,3,0,11,0,0,3,0,81,4,,,,,,,,,,,,
Antioch University-PhD Program in Leadership and Change,,,,,,OH,1,2,2,2,41,1,,,,,,,,,6,1,1,0,18,6,47,16,5,1,0,100,0,,,,,,25,12,0,0,,,,,,,,10,0,0,10,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,84,4,,,,,,,,,,,,
Antioch University-Santa Barbara,0,0,0,0,0,CA,1,2,2,2,13,1,,,,,,,,,0,2,2,0,2,25,49,14,4,3,100,0,0,,,,,,7,91,33,0,,,,,,,,23,0,0,23,0,3,1,0,0,2,0,8,0,0,8,0,0,1,0,83,4,,,,,,,,,,,,
Antioch University-Seattle,0,0,0,0,0,WA,1,2,2,2,11,1,,,,,,,,,0,5,5,0,4,7,60,18,1,4,100,0,0,,,,,,12,141,16,0,,,,,,,,80,0,0,80,2,0,3,1,0,0,0,21,2,0,19,0,0,1,0,83,4,,,,,,,,,,,,
AOMA Graduate School of Integrative Medicine,8,0,0,1,0,TX,1,3,2,2,11,1,,,,,,,,,1,17,16,1,1,3,65,3,0,10,0,0,100,,,,,,23,25,0,0,,,,,,,,14,0,0,14,1,4,4,2,0,1,0,12,2,4,6,0,0,94,6,0,0,,,,,,,,,,,,
Appalachian Bible College,4,1,5,3,0,WV,1,2,2,2,41,1,49,36,64,67,63,71,,,1,2,2,0,2,0,90,0,4,0,9,18,73,18,82,0,82,0,0,3,30,10,33,56,52,57,57,,44,19,0,0,19,1,2,15,0,0,1,0,9,2,0,5,2,0,92,8,0,0,44,54,510,580,410,530,16,23,16,25,16,24
Appalachian College of Pharmacy,1,4,17,0,0,VA,1,2,2,2,43,1,,,,,,,,,0,7,7,0,19,2,71,1,1,0,0,0,100,,,,,,71,0,0,0,,,,,,,,22,1,0,23,1,5,5,1,3,0,0,10,5,0,5,0,0,11,0,3,0,,,,,,,,,,,,
Appalachian School of Law,2,2,8,0,0,VA,1,2,2,2,43,1,,,,,,,,,2,5,5,0,6,9,69,6,3,0,0,34,66,,,,,,49,48,0,0,,,,,,,,20,0,0,20,5,10,1,1,0,0,0,21,8,0,13,0,0,31,56,13,0,,,,,,,,,,,,
