institution,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag
Texas A & M University-Commerce,1,1,-2,A,1,1,1,2020,3131,5151,3401,5176,8577,368,519,887,58,30,21,0,1,1,1,0
Texas A & M University-Corpus Christi,1,1,-2,A,1,1,1,2767,4930,7697,3055,5485,8540,630,925,1555,57,48,20,0,1,1,1,1
Texas A & M University-Kingsville,1,1,-2,A,1,1,1,2483,3063,5546,2872,3436,6308,559,496,1055,72,56,17,0,1,1,1,0
Texas A & M University-System Office,1,1,-2,A,1,1,2,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,1,1,1,1
Texas A&M University-Central Texas,1,1,1,A,1,1,1,21,27,49,23,29,53,15,21,37,82,45,16,0,1,1,0,0
Texas A&M University-San Antonio,1,1,-2,A,1,1,1,2075,3914,5989,3568,6438,10006,197,435,632,68,54,18,0,1,1,0,0
Texas A&M University-Texarkana,1,1,-2,A,1,1,1,952,1419,2371,981,1477,2458,136,151,287,64,60,14,0,1,1,1,0
Texas Barber College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,33,45,35,0,-2,-2,-2,-2
Texas Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,33,15,40,0,-2,-2,-2,-2
Texas Chiropractic College Foundation Inc,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,0,0,1
Texas Christian University,1,1,-2,A,1,1,1,3781,6374,10155,8125,13020,21145,875,1412,2287,92,83,13,0,1,1,1,1
Texas College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,41,45,22,1,1,0,0,0
Texas College of Cosmetology-Abilene,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,77,45,8,0,-2,-2,-2,-2
Texas College of Cosmetology-Lubbock,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,45,10,0,-2,-2,-2,-2
Texas College of Cosmetology-San Angelo,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,74,45,10,0,-2,-2,-2,-2
Texas County Technical College,1,1,-2,A,1,1,1,1,14,15,2,22,24,1,13,14,38,0,10,1,0,0,0,0
Texas Health and Science University,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,10,0,1,1,0,0
Texas Health School,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,88,70,18,0,-2,-2,-2,-2
Texas Healthtech Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,10,0,-2,-2,-2,-2
Texas Lutheran University,1,1,-2,A,1,1,1,671,920,1591,1147,1536,2683,181,180,361,69,45,14,0,1,1,0,0
Texas Southern University,1,1,-2,A,1,1,1,1407,3031,4438,2257,4430,6687,227,497,724,51,13,14,0,1,1,1,1
Texas Southmost College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,56,52,20,1,0,0,0,0
Texas State Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,60,14,1,0,0,0,0
Texas State University,1,1,-2,A,1,1,1,7415,14109,21524,9239,16222,25461,2039,3822,5861,77,56,22,0,1,1,1,1
Texas Tech University,1,1,-2,A,1,1,1,9657,10743,20400,13563,15568,29131,3219,3303,6522,87,67,19,0,1,1,1,1
Texas Tech University Health Sciences Center,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,7,0,1,1,1,1
Texas Tech University Health Sciences Center-El Paso,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,9,0,1,1,0,1
Texas Tech University System Administration,1,1,-2,A,1,1,2,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,1,1,1,1
Texas Wesleyan University,1,1,-2,A,1,1,1,662,839,1501,1413,1795,3208,120,123,243,64,45,12,0,1,1,1,1
Texas Woman's University,1,1,-2,A,1,1,1,383,5073,5456,425,5399,5824,74,1056,1130,77,63,19,0,1,1,1,1
Textures Institute of Cosmetology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,80,20,0,-2,-2,-2,-2
Thaddeus Stevens College of Technology,1,1,-2,A,1,1,1,1121,125,1246,1304,140,1444,442,49,491,67,45,16,1,0,0,0,0
Thanh Le College School of Cosmetology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,100,20,0,-2,-2,-2,-2
The  Beauty Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,74,45,5,0,-2,-2,-2,-2
The Academy of Hair Design Six,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,100,10,0,-2,-2,-2,-2
The Ailey School,1,1,-2,A,1,1,1,589,-347,3247,0,0,0,814,17,1515,31,45,3,0,0,0,0,0
The Art Institute of Atlanta,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,45,55,41,1,1,0,0,0
The Art Institute of Austin,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,43,29,23,1,1,0,0,0
The Art Institute of Houston,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,35,25,1,1,0,0,0
Tougaloo College,1,1,-2,A,1,1,1,337,976,1313,543,1301,1844,45,96,141,70,45,11,1,1,1,0,0
The Art Institute of San Antonio,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,59,42,20,1,1,0,0,0
The Art Institute of Virginia Beach,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,67,50,20,1,1,0,0,0
The Baptist College of Florida,1,1,-2,A,1,1,1,35,33,68,43,47,90,13,15,28,75,80,8,1,1,1,0,0
The Barber School,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,60,88,20,0,-2,-2,-2,-2
The Beauty Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,76,45,7,0,-2,-2,-2,-2
The Beauty Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,76,45,7,0,-2,-2,-2,-2
The Beauty Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,76,45,7,0,-2,-2,-2,-2
The Beauty Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,76,45,7,0,-2,-2,-2,-2
The Beauty Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,79,88,15,0,-2,-2,-2,-2
The Beauty Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,79,88,15,0,-2,-2,-2,-2
The Beauty Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,79,88,15,0,-2,-2,-2,-2
The Beauty Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,79,88,15,0,-2,-2,-2,-2
The Beauty Institute-Ambler,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,73,67,12,0,-2,-2,-2,-2
