institution,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd
Tennessee College of Applied Technology-Crossville,White,Asian,White
Tennessee College of Applied Technology-Crump,White,Asian,White
Tennessee College of Applied Technology-Dickson,White,Asian,White
Tennessee College of Applied Technology-Elizabethton,White,Asian,White
Tennessee College of Applied Technology-Harriman,White,Asian,White
Tennessee College of Applied Technology-Hartsville,White,Asian,White
Tennessee College of Applied Technology-Hohenwald,White,Asian,White
Tennessee College of Applied Technology-Jacksboro,White,Asian,White
Tennessee College of Applied Technology-Jackson,White,Asian,White
Tennessee College of Applied Technology-Knoxville,White,Asian,White
Tennessee College of Applied Technology-Livingston,White,Asian,White
Tennessee College of Applied Technology-McKenzie,White,Asian,White
Tennessee College of Applied Technology-McMinnville,White,Asian,White
Tennessee College of Applied Technology-Memphis,White,Asian,White
Tennessee College of Applied Technology-Morristown,White,Asian,White
Tennessee College of Applied Technology-Murfreesboro,White,Asian,White
Tennessee College of Applied Technology-Newbern,White,Asian,White
Tennessee College of Applied Technology-Oneida-Huntsville,White,Asian,White
Tennessee College of Applied Technology-Paris,White,Asian,White
Tennessee College of Applied Technology-Pulaski,White,Asian,White
Tennessee College of Applied Technology-Ripley,White,Asian,White
Tennessee College of Applied Technology-Shelbyville,White,Asian,White
Tennessee College of Applied Technology-Whiteville,White,Asian,White
Tennessee School of Beauty of Knoxville Inc,White,Asian,White
Tennessee State University,Black,Black,White
Tennessee Technological University,White,White,White
Tennessee Wesleyan University,White,White,White
Terra State Community College,White,Asian,White
Teterboro School of Aeronautics,White,Asian,White
Texarkana College,White,Asian,White
Texas A & M International University,Hispanic,Hispanic,White
Texas A & M University-College Station,White,White,White
Texas A & M University-Commerce,White,White,White
Texas A & M University-Corpus Christi,Hispanic,White,White
Texas A & M University-Kingsville,Hispanic,Hispanic,Hispanic
Texas A & M University-System Office,White,Asian,White
Texas A&M University-Central Texas,White,White,White
Texas A&M University-San Antonio,Hispanic,Hispanic,White
Texas A&M University-Texarkana,White,White,White
Texas Barber College,White,Asian,White
Texas Beauty College,White,Asian,White
Texas Chiropractic College Foundation Inc,White,Asian,White
Texas Christian University,White,White,White
Texas College,Black,Asian,White
Texas College of Cosmetology-Abilene,White,Asian,White
Texas College of Cosmetology-Lubbock,White,Asian,White
Texas College of Cosmetology-San Angelo,White,Asian,White
Texas County Technical College,White,Asian,White
Texas Health and Science University,White,UnknownEthnicity,White
Texas Health School,White,Asian,White
Texas Healthtech Institute,White,Asian,White
Texas Lutheran University,White,White,White
Texas Southern University,Black,Black,Black
Texas Southmost College,White,Asian,White
Texas State Technical College,White,Asian,White
Texas State University,White,White,White
Texas Tech University,White,White,White
Texas Tech University Health Sciences Center,White,White,White
Texas Tech University Health Sciences Center-El Paso,Hispanic,Hispanic,White
Texas Tech University System Administration,White,Asian,White
Texas Wesleyan University,White,White,White
Texas Woman's University,White,White,White
Textures Institute of Cosmetology,White,Asian,White
Thaddeus Stevens College of Technology,White,Asian,White
Thanh Le College School of Cosmetology,White,Asian,White
The  Beauty Institute,White,Asian,White
The Academy of Hair Design Six,White,Asian,White
The Ailey School,White,Asian,White
The Art Institute of Atlanta,Black,Asian,White
The Art Institute of Austin,White,Asian,White
The Art Institute of Houston,Hispanic,Asian,White
Tougaloo College,Black,Black,White
The Art Institute of San Antonio,Hispanic,Asian,White
The Art Institute of Virginia Beach,Black,Asian,White
The Baptist College of Florida,White,White,White
The Barber School,White,Asian,White
The Beauty Institute,White,Asian,White
The Beauty Institute,White,Asian,White
The Beauty Institute,White,Asian,White
The Beauty Institute,White,Asian,White
The Beauty Institute,White,Asian,White
The Beauty Institute,White,Asian,White
The Beauty Institute,White,Asian,White
The Beauty Institute,White,Asian,White
The Beauty Institute-Ambler,White,Asian,White
The Beauty School,White,Asian,White
The Catholic University of America,White,White,White
The Chicago School of Professional Psychology at Anaheim,White,Hispanic,Asian
The Chicago School of Professional Psychology at Chicago,Asian,White,White
The Chicago School of Professional Psychology at Los Angeles,White,White,White
The Chicago School of Professional Psychology at San Diego,White,White,White
The Chicago School of Professional Psychology at Washington DC,White,Black,Black
The Chicago School of Professional Psychology at Xavier University of Louisiana,White,Asian,White
The Christ College of Nursing and Health Sciences,White,Asian,White
The Chrysm Institute of Esthetics,White,Asian,White
The Collective School Of Music,White,Asian,White
The College of Health Care Professions-Austin,White,Asian,White
The College of Health Care Professions-Dallas,White,Asian,White
The College of Health Care Professions-Fort Worth,White,Asian,White
The College of Health Care Professions-McAllen Campus,White,Asian,White
The College of Health Care Professions-Northwest,Hispanic,Asian,White
The College of Health Care Professions-San Antonio,White,Asian,White
The College of Health Care Professions-South San Antonio,White,Asian,White
The College of Health Care Professions-Southwest Houston,White,Asian,White
The College of Idaho,White,UnknownEthnicity,White
The College of New Jersey,White,White,White
The College of Saint Rose,White,White,White
The College of Saint Scholastica,White,White,White
The College of the Florida Keys,White,Asian,White
The College of Westchester,Hispanic,Asian,White
The College of Wooster,White,Asian,White
The Continents University of Arts and Sciences,White,Asian,White
The Creative Center,White,Asian,White
The Creative Circus,White,Asian,White
The Culinary School of Fort Worth,White,Asian,White
The Esthetic Institute,White,Asian,White
The Evergreen State College,White,White,White
The Fab School,White,Asian,White
The General Theological Seminary,White,White,Asian
The Hair Academy,White,Asian,White
The Hair Academy LLC,White,Asian,White
The Healthcare Institute,White,Asian,White
The Institute of Beauty and Wellness,White,Asian,White
The International Culinary Center,White,Asian,White
The John Marshall Law School,White,Asian,White
The Juilliard School,White,White,White
The King's College,White,Asian,White
The King's University,White,White,White
The Landing School,White,Asian,White
The Master's University and Seminary,White,White,White
The Michigan Barber School,White,Asian,White
The Modern College of Design,Asian,Asian,White
The New England Conservatory of Music,White,White,White
The New School,White,White,White
The New School Center for Media,White,Asian,White
The North Coast College,White,Asian,White
The Pennsylvania State University,White,White,White
The Professional Cosmetology Academy,White,Asian,White
The Professional Hair Design Academy,White,Asian,White
The Recording Conservatory of Austin,White,Asian,White
The Salon Professional Academy,White,Asian,White
The Salon Professional Academy,White,Asian,White
The Salon Professional Academy,White,Asian,White
The Salon Professional Academy,White,Asian,White
The Salon Professional Academy,White,Asian,White
The Salon Professional Academy,White,Asian,White
The Salon Professional Academy,White,Asian,White
The Salon Professional Academy,White,Asian,White
The Salon Professional Academy-Altoona,White,Asian,White
The Salon Professional Academy-Appleton,White,Asian,White
The Salon Professional Academy-Battle Creek,White,Asian,White
The Salon Professional Academy-Cedar Falls,White,Asian,White
The Salon Professional Academy-Colorado Springs,White,Asian,White
The Salon Professional Academy-Delray Beach,White,Asian,White
The Salon Professional Academy-Evansville,White,Asian,White
The Salon Professional Academy-Fargo,White,Asian,White
The Salon Professional Academy-Ft Myers,White,Asian,White
The Salon Professional Academy-Georgetown,White,Asian,White
The Salon Professional Academy-Grand Junction,White,Asian,White
The Salon Professional Academy-Huntsville,White,Asian,White
The Salon Professional Academy-Kenosha,White,Asian,White
The Salon Professional Academy-Lewisville,White,Asian,White
The Salon Professional Academy-Melbourne,White,Asian,White
The Salon Professional Academy-Nampa,White,Asian,White
The Salon Professional Academy-Nashville,White,Asian,White
The Salon Professional Academy-North Little Rock,White,Asian,White
The Salon Professional Academy-Onalaska,White,Asian,White
The Salon Professional Academy-San Jose,White,Asian,White
The Salon Professional Academy-St Charles,White,Asian,White
The Salon Professional Academy-Tonawanda,White,Asian,White
The Salon Professional Academy-Washington DC,White,Asian,White
The Santa Barbara and Ventura Colleges of Law at Santa Barbara,White,Asian,White
The Santa Barbara and Ventura Colleges of Law at Ventura,White,White,White
The School of Architecture,White,White,White
The Seattle School of Theology & Psychology,White,White,White
The Southern Baptist Theological Seminary,White,White,White
The Temple Annapolis-A Paul Mitchell Partner School,White,Asian,White
The Temple-A Paul Mitchell Partner School,White,Asian,White
The Training Domain,White,Asian,White
The University of Aesthetics & Cosmetology,White,Asian,White
The University of Alabama,White,White,White
The University of America,White,Asian,White
The University of Findlay,White,White,White
The University of Montana,White,White,White
The University of Montana-Western,White,Asian,White
The University of Tampa,White,White,White
The University of Tennessee Health Science Center,White,White,White
The University of Tennessee System Office,White,Asian,White
The University of Tennessee-Chattanooga,White,White,White
The University of Tennessee-Knoxville,White,White,White
The University of Tennessee-Martin,White,White,White
The University of Texas at Arlington,White,White,White
The University of Texas at Austin,White,White,White
The University of Texas at Dallas,White,White,White
The University of Texas at El Paso,Hispanic,Hispanic,Hispanic
The University of Texas at San Antonio,Hispanic,Hispanic,White
The University of Texas at Tyler,White,White,White
The University of Texas Health Science Center at Houston,White,White,White
The University of Texas Health Science Center at San Antonio,Hispanic,White,White
The University of Texas MD Anderson Cancer Center,Hispanic,White,White
The University of Texas Medical Branch at Galveston,White,White,White
The University of Texas Permian Basin,White,White,White
The University of Texas Rio Grande Valley,Hispanic,Hispanic,Hispanic
The University of Texas System Office,White,Asian,White
The University of the Arts,White,White,Asian
The University of the South,White,White,White
The University of Virginia's College at Wise,White,Asian,White
The University of West Florida,White,White,White
The Vocational Nursing Institute Inc,White,Asian,White
The Wright Institute,White,White,White
Theatre of Arts,White,Asian,White
Theological Seminary of the Reformed Episcopal Church,White,White,White
Thiel College,White,Asian,White
Thomas Aquinas College,White,Asian,White
Thomas College,White,White,White
Thomas Edison State University,White,White,White
Thomas Jefferson School of Law,White,White,White
Thomas Jefferson University,White,White,White
Thomas More College of Liberal Arts,White,Asian,White
Thomas More University,White,White,White
Thomas Nelson Community College,White,Asian,White
Thomas University,UnknownEthnicity,UnknownEthnicity,White
Three Rivers College,White,Asian,White
Three Rivers Community College,White,Asian,White
Tidewater Community College,White,Asian,White
Tidewater Tech-Trades,White,Asian,White
Tiffin Academy of Hair Design,White,Asian,White
Tiffin University,White,White,White
TIGI Hairdressing Academy Guilford,White,Asian,White
Tillamook Bay Community College,White,Asian,White
Tint School of Makeup & Cosmetology,White,Asian,White
Tint School of Makeup & Cosmetology-Seattle,White,Asian,White
Tint School of Makeup and Cosmetology-Dallas,White,Asian,White
Toccoa Falls College,White,Asian,White
Tohono O'odham Community College,White,Asian,White
Toledo Academy of Beauty Culture-East,White,Asian,White
Toledo Public Schools Adult and Continuing Education,White,Asian,White
Tom P Haney Technical Center,White,Asian,White
Tomorrow's Image Barber And Beauty Academy of Virginia,White,Asian,White
Tompkins Cortland Community College,White,Asian,White
Toni & Guy Hairdressing Academy-Albuquerque,White,Asian,White
Toni & Guy Hairdressing Academy-Atlanta,White,Asian,White
Toni & Guy Hairdressing Academy-Colorado Springs,White,Asian,White
Toni & Guy Hairdressing Academy-Cranston,White,Asian,White
Toni & Guy Hairdressing Academy-Idaho,White,Asian,White
Toni & Guy Hairdressing Academy-Plano,White,Asian,White
Toni & Guy Hairdressing Academy-Rio Rancho,White,Asian,White
Toni & Guy Hairdressing Academy-Shoreline,White,Asian,White
Toni & Guy Hairdressing Academy-Worcester,White,Asian,White
Tonsorial Arts Barber College,White,Asian,White
Tooele Technical College,White,Asian,White
Top Nails & Hair Beauty School,White,Asian,White
Top of the Line Barber College,White,Asian,White
Torah Temimah Talmudical Seminary,White,Asian,White
Total Beauty Institute,White,Asian,White
Total Image Beauty Academy,White,Asian,White
Total Transformation Institute of Cosmetology,White,Asian,White
Totally Cosmo School of Modern Cosmetology,White,Asian,White
Touro College,White,White,Asian
Touro University California,White,Asian,White
Touro University Nevada,White,White,Asian
Touro University Worldwide,White,White,White
Towson University,White,White,White
Toyota Technological Institute at Chicago,White,Asian,Asian
Transitions Career Institute School of Nursing,White,Asian,White
Transylvania University,White,Asian,White
Traviss Technical College,White,Asian,White
Traxlers School of Hair,White,Asian,White
Treasure Coast Technical College,White,Asian,White
Treasure Valley Community College,White,Asian,White
Trend Barber College,White,Asian,White
Trend Barber College,White,Asian,White
Trend Barber College,White,Asian,White
Trend Barber College,White,Asian,White
Trend Barber College,White,Asian,White
Trend Barber College,White,Asian,White
Trend Barber College,White,Asian,White
Trend Barber College,White,Asian,White
Trend Setters School,White,Asian,White
Trinity Law School,White,Black,White
Trendsetters School of Beauty & Barbering,White,Asian,White
Trenz Beauty Academy,White,Asian,White
Trevecca Nazarene University,White,White,Black
Tri County Regional Vocational Technical High School,White,Asian,White
Tri-Community Adult Education,White,Asian,White
Tri-County Adult Career Center,White,Asian,White
Tri-County Beauty Academy,White,Asian,White
Tri-County Community College,White,Asian,White
Tri-County Technical College,White,Asian,White
Tri-Rivers Career Center,White,Asian,White
Tri-State Barber College,White,Asian,White
Tri-State Bible College,Asian,Asian,White
Tri-State Cosmetology Institute,White,Asian,White
Triangle Tech Inc-Bethlehem,White,Asian,White
Triangle Tech Inc-Dubois,White,Asian,White
Triangle Tech Inc-Greensburg,White,Asian,White
Triangle Tech Inc-Pittsburgh,White,Asian,White
Triangle Tech Inc-Sunbury,White,Asian,White
Triangle Tech-Chambersburg,White,Asian,White
Tricoci University of Beauty Culture-Bridgeview,White,Asian,White
Tricoci University of Beauty Culture-Chicago NE,White,Asian,White
Tricoci University of Beauty Culture-Chicago NW,White,Asian,White
Tricoci University of Beauty Culture-Danville,White,Asian,White
Tricoci University of Beauty Culture-Elgin,White,Asian,White
Tricoci University of Beauty Culture-Glendale Heights,White,Asian,White
Tricoci University of Beauty Culture-Highland,White,Asian,White
Tricoci University of Beauty Culture-Indianapolis,White,Asian,White
Tricoci University of Beauty Culture-Janesville,White,Asian,White
Tricoci University of Beauty Culture-Lafayette,White,Asian,White
Tricoci University of Beauty Culture-Libertyville,White,Asian,White
Tricoci University of Beauty Culture-Normal,White,Asian,White
Tricoci University of Beauty Culture-Peoria,White,Asian,White
Tricoci University of Beauty Culture-Rockford,White,Asian,White
Tricoci University of Beauty Culture-Urbana,White,Asian,White
Tricoci University of Beauty Culture LLC-Bloomington,White,Asian,White
Trident Technical College,White,Asian,White
Trident University International,White,Asian,White
Trine University,White,UnknownEthnicity,White
Trine University-Regional/Non-Traditional Campuses,White,White,White
Trinidad State Junior College,White,Asian,White
Trinity Baptist College,White,White,White
Trinity Bible College and Graduate School,White,White,Asian
Trinity Christian College,White,White,White
Trinity College,White,White,White
Trinity College of Florida,White,Asian,White
Trinity College of Nursing & Health Sciences,White,White,White
Trinity College of Puerto Rico,White,Asian,White
Trinity Episcopal School for Ministry,White,White,White
Trinity Health System School of Nursing,White,Asian,White
Trinity International University-Florida,Hispanic,Black,White
Trinity International University-Illinois,White,White,White
Trinity University,White,White,White
Trinity Valley Community College,White,Asian,White
Trinity Washington University,Black,Black,White
Triton College,White,Asian,White
Trocaire College,White,Asian,White
Troy University,White,UnknownEthnicity,White
Truckee Meadows Community College,White,Asian,White
Truett McConnell University,White,White,White
Truman State University,White,White,White
Trumbull Career & Technical Center,White,Asian,White
Tucson College of Beauty,White,Asian,White
Tufts University,White,White,White
Tulane University of Louisiana,White,White,White
Tulsa Community College,White,Asian,White
Tulsa Technology Center,White,Asian,White
Tulsa Welding School-Houston,White,Asian,White
Tulsa Welding School-Jacksonville,White,Asian,White
Tulsa Welding School-Jacksonville,White,Asian,White
Tulsa Welding School-Jacksonville,White,Asian,White
Tulsa Welding School-Jacksonville,White,Asian,White
Tulsa Welding School-Jacksonville,White,Asian,White
Tulsa Welding School-Jacksonville,White,Asian,White
Tulsa Welding School-Jacksonville,White,Asian,White
Tulsa Welding School-Jacksonville,White,Asian,White
Tulsa Welding School-Tulsa,White,Asian,White
Tunxis Community College,White,Asian,White
Turning Point Beauty College,White,Asian,White
Turtle Mountain Community College,NativeAmerican,Asian,White
Tusculum University,White,White,White
Tuskegee University,Black,Black,Black
Twin City Beauty College,White,Asian,White
Tyler Junior College,White,Asian,White
UEI College-Riverside,White,Asian,White
U S Grant Joint Vocational School,White,Asian,White
U.S. Truck Driver Training School,White,Asian,White
UCAS University of Cosmetology Arts & Sciences-La Joya,White,Asian,White
UCAS University of Cosmetology Arts & Sciences-McAllen,White,Asian,White
UCAS University of Cosmetology Arts & Sciences,White,Asian,White
UCAS University of Cosmetology Arts & Sciences-Harlingen,White,Asian,White
UCAS University of Cosmetology Arts & Sciences-San Antonio 410,White,Asian,White
UEI College-Bakersfield,White,Asian,White
UEI College-Fresno,White,Asian,White
UEI College-Gardena,White,Asian,White
UEI College-Sacramento,White,Asian,White
Uintah Basin Technical College,White,Asian,White
Ukiah Adult School,White,Asian,White
Ulster BOCES-School of Practical Nursing,White,Asian,White
Ulster County Community College,White,Asian,White
Union College,White,Asian,White
Union College,White,Asian,White
Union College,White,Asian,White
Union College,White,Asian,White
Union College,White,Asian,White
Union College,White,Asian,White
Union College,White,Asian,White
Union College,White,Asian,White
Union College,White,Asian,White
Ultimate Medical Academy,White,Asian,White
Ultrasound Medical Institute,White,Asian,White
Umpqua Community College,White,Asian,White
Unification Theological Seminary,White,Asian,White
Union Bible College,White,Asian,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union College,White,White,White
Union County College,White,Asian,White
Union County Vocational Technical School,White,Asian,White
Union Institute & University,Hispanic,White,White
Union Presbyterian Seminary,White,White,White
Union Theological Seminary in the City of New York,White,White,White
Union University,White,White,White
Unitech Training Academy-Alexandria,White,Asian,White
Unitech Training Academy-Baton Rouge,White,Asian,White
Unitech Training Academy-Houma,White,Asian,White
Unitech Training Academy-Lafayette,White,Asian,White
Unitech Training Academy-Lake Charles,White,Asian,White
Unitech Training Academy-New Orleans,White,Asian,White
Unitech Training Academy-West Monroe,White,Asian,White
United Beauty College,White,Asian,White
United Education Institute - UEI College - Phoenix,White,Asian,White
United Education Institute-Anaheim,White,Asian,White
United Education Institute-Chula Vista,White,Asian,White
United Education Institute-Encino,White,Asian,White
United Education Institute-Huntington Park Campus,White,Asian,White
United Education Institute-Morrow,White,Asian,White
United Education Institute-Ontario,White,Asian,White
United Education Institute-UEI College San Marcos,White,Asian,White
United Education Institute-UEI College Stockton,White,Asian,White
United Education Institute-West Covina,White,Asian,White
United International College,Asian,Asian,White
United Lutheran Seminary,White,White,Asian
United States Air Force Academy,White,Asian,White
United States Coast Guard Academy,White,Asian,White
United States Merchant Marine Academy,White,UnknownEthnicity,White
United States Military Academy,White,Asian,White
United States Naval Academy,White,Asian,White
United States Sports Academy,White,White,White
United States University,White,Asian,White
United Talmudical Seminary,White,Asian,White
United Technical Center,White,Asian,White
United Theological Seminary,White,White,White
United Theological Seminary of the Twin Cities,White,White,White
United Tribes Technical College,NativeAmerican,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unitek College,Asian,Asian,White
Unitek College,Asian,Asian,White
Unitek College,Asian,Asian,White
Unitek College,Asian,Asian,White
Unitek College,Asian,Asian,White
Unitek College,Asian,Asian,White
Unitek College,Asian,Asian,White
Unitek College,Asian,Asian,White
Unitek College,Asian,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unitek College,White,Asian,White
Unity College,White,White,White
UnityPoint Health-Des Moines School of Radiologic Technology,White,Asian,White
Universal Career School,White,Asian,White
Universal College of Beauty Inc-Los Angeles 2,White,Asian,White
Universal College of Healing Arts,White,Asian,White
Universal Healthcare Careers College,White,Asian,White
Universal Spa Training Academy,White,Asian,White
Universal Technical Institute of Arizona Inc,White,Asian,White
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,White,Asian,White
Universal Technical Institute of California Inc,White,Asian,White
Universal Technical Institute of Illinois Inc,White,Asian,White
Universal Technical Institute of Massachusetts Inc,White,Asian,White
Universal Technical Institute of Northern California Inc,White,Asian,White
Universal Technical Institute of Pennsylvania Inc,White,Asian,White
Universal Technical Institute of Texas Inc.,White,Asian,White
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,White,Asian,White
Universal Technical Institute-Bloomfield,White,Asian,White
Universal Technical Institute-Dallas Fort Worth,White,Asian,White
Universal Technical Institute-Southern California,White,Asian,White
Universal Technology College of Puerto Rico,Hispanic,Asian,White
Universal Therapeutic Massage Institute,White,Asian,White
Universal Training Institute,White,Asian,White
Universidad Adventista de las Antillas,Hispanic,Hispanic,White
Universidad Ana G. Mendez-Carolina Campus,Hispanic,Hispanic,White
Universidad Ana G. Mendez-Cupey Campus,Hispanic,Hispanic,Hispanic
Universidad Ana G. Mendez-Gurabo Campus,Hispanic,Hispanic,Hispanic
Universidad Ana G. Mendez-Online Campus,Hispanic,Hispanic,White
Universidad Central de Bayamon,Hispanic,Hispanic,White
Universidad Central Del Caribe,Hispanic,Hispanic,Hispanic
Universidad del Sagrado Corazon,Hispanic,Hispanic,White
Universidad Pentecostal Mizpa,Hispanic,Hispanic,White
Universidad Politecnica de Puerto Rico,Hispanic,Hispanic,White
Universidad Teologica del Caribe,Hispanic,Hispanic,White
University Academy of Hair Design,White,Asian,White
University at Buffalo,White,White,White
University of Advancing Technology,White,White,White
University of Aesthetics & Cosmetology,White,Asian,White
University of Akron Main Campus,White,White,White
University of Akron Wayne College,White,Asian,White
University of Alabama at Birmingham,White,White,White
University of Alabama in Huntsville,White,White,White
University of Alabama System Office,White,Asian,White
University of Alaska Anchorage,White,White,White
University of Alaska Fairbanks,White,White,White
University of Alaska Southeast,White,White,White
University of Alaska System of Higher Education,White,Asian,White
University of Antelope Valley,Hispanic,Hispanic,White
University of Arizona,White,White,White
University of Arizona-Sierra Vista,Hispanic,White,White
University of Arkansas,White,White,White
University of Arkansas at Little Rock,White,White,White
University of Arkansas at Monticello,White,White,White
University of Arkansas at Pine Bluff,Black,Black,Asian
University of Arkansas Community College Rich Mountain,White,Asian,White
University of Arkansas Community College-Batesville,White,Asian,White
University of Arkansas Community College-Morrilton,White,Asian,White
University of Arkansas for Medical Sciences,White,White,White
University of Arkansas Hope-Texarkana,White,Asian,White
University of Arkansas System eVersity,White,Asian,White
University of Arkansas System Office,White,Asian,White
University of Arkansas-Fort Smith,White,White,White
University of Arkansas-Pulaski Technical College,White,Asian,White
University of Baltimore,Black,Black,Black
University of Bridgeport,White,White,White
University of California-Berkeley,Asian,White,White
University of California-Davis,Asian,White,White
University of California-Hastings College of Law,White,White,White
University of California-Irvine,Asian,Asian,White
University of California-Los Angeles,Asian,White,White
University of California-Merced,Hispanic,White,White
University of California-Riverside,Hispanic,White,White
University of California-San Diego,Asian,White,White
University of California-San Francisco,White,White,White
University of California-Santa Barbara,White,White,White
University of California-Santa Cruz,White,White,White
University of California-System Administration Central Office,White,Asian,White
University of Central Arkansas,White,White,White
University of Central Florida,White,White,White
University of Central Missouri,White,White,White
University of Central Oklahoma,White,White,White
University of Charleston,White,White,White
University of Chicago,White,White,White
University of Cincinnati-Blue Ash College,White,Asian,White
University of Cincinnati-Clermont College,White,Asian,White
University of Cincinnati-Main Campus,White,White,White
University of Colorado Boulder,White,White,White
University of Colorado Colorado Springs,White,White,White
University of Colorado Denver/Anschutz Medical Campus,White,White,White
University of Colorado System Office,White,Asian,White
University of Connecticut,White,White,White
University of Connecticut-Avery Point,White,Asian,White
University of Connecticut-Hartford Campus,White,Asian,White
University of Connecticut-Stamford,White,Asian,White
University of Connecticut-Waterbury Campus,White,Asian,White
University of Dallas,White,White,White
University of Dayton,White,White,White
University of Delaware,White,White,White
University of Denver,White,White,White
University of Detroit Mercy,White,White,White
University of Dubuque,White,White,White
University of East-West Medicine,White,Asian,White
University of Evansville,White,White,White
University of Florida,White,White,White
University of Florida-Online,White,Asian,White
University of Fort Lauderdale,Black,Black,White
University of Georgia,White,White,White
University of Guam,Asian,PacificIslander,White
University of Hartford,White,White,White
University of Hawaii at Hilo,Asian,White,Asian
University of Hawaii at Manoa,Asian,Asian,White
University of Hawaii Maui College,White,Asian,White
University of Hawaii System Office,White,Asian,White
University of Hawaii-West Oahu,Asian,Asian,White
University of Health Sciences and Pharmacy in St. Louis,White,Asian,White
University of Holy Cross,White,White,Black
University of Houston,Hispanic,White,White
University of Houston-Clear Lake,White,White,White
University of Houston-Downtown,Hispanic,Black,White
University of Houston-System Administration,White,Asian,White
University of Houston-Victoria,Hispanic,White,White
University of Idaho,White,White,White
University of Illinois Chicago,White,White,White
University of Illinois Springfield,White,White,White
University of Illinois System Offices,White,Asian,White
University of Illinois Urbana-Champaign,White,White,White
University of Indianapolis,White,White,White
University of Iowa,White,White,White
University of Jamestown,White,White,White
University of Kansas,White,White,White
University of Kentucky,White,White,White
University of La Verne,Hispanic,Hispanic,Hispanic
University of Louisiana at Lafayette,White,White,White
University of Louisiana at Monroe,White,White,White
University of Louisiana-System Administration,White,Asian,White
University of Louisville,White,White,White
University of Lynchburg,White,White,White
University of Maine,White,White,White
University of Maine at Augusta,White,Asian,White
University of Maine at Farmington,White,White,White
University of Maine at Fort Kent,White,Asian,White
University of Maine at Machias,White,Asian,White
University of Maine at Presque Isle,White,Asian,White
University of Maine-System Central Office,White,Asian,White
University of Management and Technology,UnknownEthnicity,UnknownEthnicity,UnknownEthnicity
University of Mary,White,White,White
University of Mary Hardin-Baylor,White,White,White
University of Mary Washington,White,White,White
University of Maryland Eastern Shore,Black,Black,Black
University of Maryland Global Campus,White,Black,White
University of Maryland  Baltimore,White,White,White
University of Maryland-Baltimore County,White,White,White
University of Maryland-College Park,White,White,White
University of Massachusetts Medical School Worcester,White,White,White
University of Massachusetts-Amherst,White,White,White
University of Massachusetts-Boston,White,White,White
University of Massachusetts-Central Office,White,Asian,White
University of Massachusetts-Dartmouth,White,White,White
University of Massachusetts-Lowell,White,White,White
University of Memphis,White,White,White
University of Miami,White,Hispanic,White
University of Michigan-Ann Arbor,White,White,White
University of Michigan-Dearborn,White,White,White
University of Michigan-Flint,White,White,Black
University of Minnesota-Crookston,White,Asian,White
University of Minnesota-Duluth,White,White,Asian
University of Minnesota-Morris,White,Asian,White
University of Minnesota-Rochester,White,Asian,White
University of Minnesota-Twin Cities,White,White,White
University of Mississippi,White,White,White
University of Missouri-Columbia,White,White,White
University of Missouri-Kansas City,White,White,White
University of Missouri-St Louis,White,White,White
University of Missouri-System Office,White,Asian,White
University of Mobile,White,White,Asian
University of Montevallo,White,White,White
University of Mount Olive,White,White,White
University of Mount Union,White,White,White
University of Nebraska at Kearney,White,White,White
University of Nebraska at Omaha,White,White,White
University of Nebraska Medical Center,White,White,White
University of Nebraska-Central Administration System Office,White,Asian,White
University of Nebraska-Lincoln,White,White,White
University of Nevada-Las Vegas,White,White,White
University of Nevada-Reno,White,White,White
University of New England,White,White,White
University of New Hampshire at Manchester,White,Asian,White
University of New Hampshire-Franklin Pierce School of Law,White,UnknownEthnicity,White
University of New Hampshire-Main Campus,White,White,White
University of New Haven,White,White,White
University of New Mexico-Gallup Campus,White,Asian,White
University of New Mexico-Los Alamos Campus,White,Asian,White
University of New Mexico-Main Campus,Hispanic,White,White
University of New Mexico-Taos Campus,White,Asian,White
University of New Mexico-Valencia County Campus,White,Asian,White
University of New Orleans,White,White,White
University of North Alabama,White,White,White
University of North Carolina at Asheville,White,White,White
University of North Carolina at Chapel Hill,White,White,White
University of North Carolina at Charlotte,White,White,White
University of North Carolina at Greensboro,White,White,White
University of North Carolina at Pembroke,White,White,White
University of North Carolina School of the Arts,White,White,White
University of North Carolina System,White,Asian,White
University of North Carolina Wilmington,White,White,White
University of North Dakota,White,White,White
University of North Florida,White,White,White
University of North Georgia,White,White,White
University of North Texas,White,White,White
