institution,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd
Austin's Beauty College Inc,White,Asian,White
Automeca Technical College-Aguadilla,White,Asian,White
Automeca Technical College-Bayamon,White,Asian,White
Automeca Technical College-Caguas,White,Asian,White
Automeca Technical College-Ponce,White,Asian,White
Automotive Training Center-Exton,White,Asian,White
Automotive Training Center-Warminster,White,Asian,White
Autry Technology Center,White,Asian,White
Avalon School of Cosmetology,White,Asian,White
Avalon School of Cosmetology-Alameda,White,Asian,White
Avalon School of Cosmetology-Aurora,White,Asian,White
Avalon School of Cosmetology-Layton,White,Asian,White
Avalon School of Cosmetology-Mesa,White,Asian,White
Avalon School of Cosmetology-Phoenix,White,Asian,White
Ave Maria School of Law,White,Asian,White
Ave Maria University,White,White,White
Aveda Arts & Sciences Institute-Baton Rouge,White,Asian,White
Aveda Arts & Sciences Institute-Covington,White,Asian,White
Aveda Arts & Sciences Institute-Lafayette,White,Asian,White
Aveda Arts & Sciences Institute-San Antonio,White,Asian,White
Aveda Fredric's Institute-Cincinnati,White,Asian,White
Aveda Fredric's Institute-Indianapolis,White,Asian,White
Aveda Institute Des Moines - Aveda Institute Rochester,White,Asian,White
Aveda Institute Portland-Vancouver Campus,White,Asian,White
Aveda Institute-Boise,White,Asian,White
Aveda Institute-Chapel Hill,White,Asian,White
Aveda Institute-Chicago,White,Asian,White
Aveda Institute-Columbus,White,Asian,White
Aveda Institute-Denver,White,Asian,White
Aveda Institute-Des Moines,White,Asian,White
Aveda Institute-Los Angeles,White,Asian,White
Aveda Institute-Madison,White,Asian,White
Aveda Institute-Maryland,White,Asian,White
Aveda Institute-Minneapolis,White,Asian,White
Aveda Institute-New Mexico,White,Asian,White
Aveda Institute-New York,White,Asian,White
Aveda Institute-Phoenix,White,Asian,White
Aveda Institute-Portland,White,Asian,White
Aveda Institute-Provo,White,Asian,White
Aveda Institute-South Florida,White,Asian,White
Aveda Institute-Tallahassee,White,Asian,White
Aveda Institute-Tucson,White,Asian,White
Aveda Institute-Twin Falls,White,Asian,White
Avenue Academy  A Cosmetology Institute,White,Asian,White
Avenue Five Institute,White,Asian,White
Avenue Five Institute-South Austin Campus,White,Asian,White
Avera McKennan Hospital School of Radiologic Technology,White,Asian,White
Avera Sacred Heart Hospital,White,Asian,White
Averett University,White,Asian,White
Averett University-Non-Traditional Programs,White,White,White
Avery James School of Cosmetology,White,Asian,White
Avi Career Training,White,Asian,White
Ayers Career College,White,Asian,White
Aviation Institute of Maintenance-Atlanta,White,Asian,White
Aviation Institute of Maintenance-Charlotte,White,Asian,White
Aviation Institute of Maintenance-Dallas,White,Asian,White
Aviation Institute of Maintenance-Fremont,White,Asian,White
Aviation Institute of Maintenance-Houston,White,Asian,White
Aviation Institute of Maintenance-Indianapolis,White,Asian,White
Aviation Institute of Maintenance-Kansas City,White,Asian,White
Aviation Institute of Maintenance-Las Vegas,White,Asian,White
Aviation Institute of Maintenance-Manassas,White,Asian,White
Aviation Institute of Maintenance-Norfolk,White,Asian,White
Aviation Institute of Maintenance-Orlando,White,Asian,White
Aviation Institute of Maintenance-Philadelphia,White,Asian,White
