institution,sat25thperreading,sat75thperreading,sat25thpermath,sat75thpermath,act25thpercomp,act75thpercomp,act25thpereng,act75thpereng,act25thpermath,act75thpermath
Arapahoe Community College,455,625,502,661,22,22,23,27,22,24
Arcadia University,520,630,510,600,20,28,19,28,19,27
Arclabs,455,625,502,661,22,22,23,27,22,24
Arizona Academy of Beauty-East,455,625,502,661,22,22,23,27,22,24
Arizona Board of Regents,455,625,502,661,22,22,23,27,22,24
Arizona Christian University,476,570,460,550,17,22,15,22,16,23
Arizona College of Nursing-Tucson,455,625,502,661,22,22,23,27,22,24
Arizona College of Nursing-Fort Lauderdale,455,625,502,661,22,22,23,27,22,24
Arizona College of Nursing-Las Vegas,455,625,502,661,22,22,23,27,22,24
Arizona College of Nursing-Phoenix,455,625,502,661,22,22,23,27,22,24
Arizona College of Nursing-Tampa,455,625,502,661,22,22,23,27,22,24
Arizona College of Nursing-Tempe,455,625,502,661,22,22,23,27,22,24
Arizona College-Dallas,455,625,502,661,22,22,23,27,22,24
Arizona College-Glendale,455,625,502,661,22,22,23,27,22,24
Arizona College-Mesa,455,625,502,661,22,22,23,27,22,24
Arizona Culinary Institute,455,625,502,661,22,22,23,27,22,24
Arizona School of Acupuncture and Oriental Medicine,455,625,502,661,22,22,23,27,22,24
Arnolds Beauty School,455,625,502,661,22,22,23,27,22,24
Arizona School of Integrative Studies,455,625,502,661,22,22,23,27,22,24
Arizona State University - Washington Center,455,625,502,661,22,22,23,27,22,24
Arizona State University Campus Immersion,550,650,550,670,21,28,20,28,20,27
Arizona State University Digital Immersion,455,625,502,661,22,22,23,27,22,24
Arizona State University-Downtown Phoenix,455,625,502,661,22,22,23,27,22,24
Arizona State University-Polytechnic,455,625,502,661,22,22,23,27,22,24
Arizona State University-West,455,625,502,661,22,22,23,27,22,24
Arizona Western College,455,625,502,661,22,22,23,27,22,24
Arkansas Baptist College,455,625,502,661,22,22,23,27,22,24
Arkansas Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arkansas Beauty School-Little Rock,455,625,502,661,22,22,23,27,22,24
Arkansas College of Barbering and Hair Design,455,625,502,661,22,22,23,27,22,24
Arkansas Colleges of Health Education,455,625,502,661,22,22,23,27,22,24
Arkansas Northeastern College,455,625,502,661,22,22,23,27,22,24
Arkansas State University,500,590,500,630,20,26,21,27,18,25
Arkansas State University Mid-South,455,625,502,661,22,22,23,27,22,24
Arkansas State University System,455,625,502,661,22,22,23,27,22,24
Arkansas State University Three Rivers,455,625,502,661,22,22,23,27,22,24
Arkansas State University-Beebe,455,625,502,661,22,22,23,27,22,24
Arkansas State University-Mountain Home,455,625,502,661,22,22,23,27,22,24
Arkansas State University-Newport,455,625,502,661,22,22,23,27,22,24
Arkansas Tech University,455,625,502,661,22,22,23,27,22,24
Arkansas Welding Academy,455,625,502,661,22,22,23,27,22,24
Arlington Baptist University,455,625,502,661,22,22,23,27,22,24
Arlington Career Institute,455,625,502,661,22,22,23,27,22,24
Arnot Ogden Medical Center,455,625,502,661,22,22,23,27,22,24
Arrojo Cosmetology School,455,625,502,661,22,22,23,27,22,24
Art Academy of Cincinnati,455,625,502,661,22,22,23,27,22,24
Art Center College of Design,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
