,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,instnm,Institution (entity) name (HD2020),Certificate of less than 1 year (IC2020),Certificate of less than 12 weeks (IC2020),Certificate of at least 12 weeks  but less than 1 year (IC2020),Certifiicate of at least 1 year  but less than 2 years (IC2020),Associate's degree (IC2020),Certificate of at least 2 years  but less than 4 years (IC2020),Bachelor's degree (IC2020),Postbaccalaureate certificate (IC2020),Master's degree (IC2020),Post-master's certificate (IC2020),Doctor's degree - research/scholarship (IC2020),Doctor's degree - professional practice (IC2020),Doctor's degree - other (IC2020),Other degree (IC2020),Unnamed: 16
83,83,83,83,Alabama A & M University,Alabama A & M University,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,
84,84,84,84,Alabama College of Osteopathic Medicine,Alabama College of Osteopathic Medicine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
85,85,85,85,Alabama School of Nail Technology & Cosmetology,Alabama School of Nail Technology & Cosmetology,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
86,86,86,86,Alabama State College of Barber Styling,Alabama State College of Barber Styling,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
87,87,87,87,Alabama State University,Alabama State University,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
88,88,88,88,Alamance Community College,Alamance Community College,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
89,89,89,89,Alamo City Barber College,Alamo City Barber College,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
90,90,90,90,Alamo Community College District Central Office,Alamo Community College District Central Office,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
91,91,91,91,Alaska Bible College,Alaska Bible College,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
92,92,92,92,Alaska Career College,Alaska Career College,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
93,93,93,93,Alaska Christian College,Alaska Christian College,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
94,94,94,94,Alaska Pacific University,Alaska Pacific University,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,
95,95,95,95,Alaska Vocational Technical Center,Alaska Vocational Technical Center,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
96,96,96,96,Albany BOCES-Adult Practical Nursing Program,Albany BOCES-Adult Practical Nursing Program,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
97,97,97,97,Albany College of Pharmacy and Health Sciences,Albany College of Pharmacy and Health Sciences,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,
98,98,98,98,Albany Law School,Albany Law School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,
99,99,99,99,Albany Medical College,Albany Medical College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,
100,100,100,100,Albany State University,Albany State University,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
101,101,101,101,Albany Technical College,Albany Technical College,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
102,102,102,102,Albert Einstein College of Medicine,Albert Einstein College of Medicine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,
103,103,103,103,Albertus Magnus College,Albertus Magnus College,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
104,104,104,104,Albion College,Albion College,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
105,105,105,105,Albizu University-Miami,Albizu University-Miami,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
106,106,106,106,Albizu University-San Juan,Albizu University-San Juan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
107,107,107,107,Albright College,Albright College,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
108,108,108,108,Alcorn State University,Alcorn State University,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,
109,109,109,109,Alder Graduate School of Education,Alder Graduate School of Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
110,110,110,110,Alderson Broaddus University,Alderson Broaddus University,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
111,111,111,111,Alexander Academy,Alexander Academy,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
112,112,112,112,Alexander Paul Institute of Hair Design,Alexander Paul Institute of Hair Design,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
113,113,113,113,Alexandria School of Scientific Therapeutics,Alexandria School of Scientific Therapeutics,1.0,0.0,1.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
114,114,114,114,Alexandria Technical & Community College,Alexandria Technical & Community College,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
